1	1.8	5
1	3.2	5
2	2.8	5
2	2.8	6
3	3.5	4
4	2.2	6
4	3.8	6
4	5.7	6
4	3.8	5
5	4.9	6
5	4.6	5
6	2.2	5
6	2.2	5
6	3.4	4
6	2.2	6
6	3.8	7
6	4.3	8
6	5	6
6	5.7	2
7	3.3	6
8	3	6
8	3.3	6
9	1.5	5
9	2.2	5
9	2.5	6
9	3	7
9	2.5	6
9	3	4
10	1.5	5
10	3.5	6
11	1.3	4
11	1.8	5
11	2.3	5
11	2.3	4
11	2	4
11	3	7
11	3	5
11	4.6	6
12	1	4
12	1.6	4
13	2.3	4
13	1.5	4
13	2.2	4
14	1.5	5
14	1.8	5
14	1.5	4
14	2	5
15	4.5	5
16	3	5
16	3	4
17	3.8	6
17	4.6	6
18	1.6	4
18	1.8	5
18	2.5	5
18	3	7
18	1.3	2
19	2.3	5
19	3.2	5
20	1.6	4
20	3.8	5
21	1.5	5
21	3	5
22	1.6	5
22	2.4	5
22	3	7
22	3	5
23	2.3	5
23	2.2	5
23	3.8	7
23	3.8	6
24	1.8	4
25	1.6	4
25	2	5
25	3.4	4
25	3.4	5
25	3.8	6
26	2.1	5
27	1.9	5
28	1.2	4
28	1.8	5
28	2.2	5
29	1.3	4
30	1.5	5
30	2.2	4
30	2.2	5
30	2.4	7
31	1.8	4
31	2.5	7
31	2	5
31	2.8	4
32	2.3	5
32	2.4	5
